B9FU30_ORYSJ_284-472	B9FU30_ORYSJ_849-1024	Q5Z6I4_ORYSJ_261-445	Q5Z6I4_ORYSJ_857-1036	D0NKW7_PHYIT_491-663	D0NKW7_PHYIT_696-864	Q22US2_TETTS_932-1154	Q22US2_TETTS_1211-1402	Q22US2_TETTS_1444-1649	B9G1J5_ORYSJ_289-475	B9G1J5_ORYSJ_898-1071	C2GR1_ARATH_236-423	C2GR1_ARATH_844-1019	A9TQ08_PHYPA_235-415	A9TQ08_PHYPA_826-1012	C2GR2_ARATH_238-426	C2GR2_ARATH_849-1023	B9F3V9_ORYSJ_332-515	B9F3V9_ORYSJ_899-1075	A9SDA2_PHYPA_232-412	A9SDA2_PHYPA_817-1004	A9TQF1_PHYPA_224-401	A9TQF1_PHYPA_820-1003	Q7XKT6_ORYSJ_248-436	Q7XKT6_ORYSJ_859-1033	YSP2_YEAST_841-1021	YSP2_YEAST_1046-1230	A9RSX7_PHYPA_212-394	A9RSX7_PHYPA_807-992	F4HVW5_ARATH_257-449	YHO0_YEAST_751-934	YHO0_YEAST_957-1143	B9G4K6_ORYSJ_394-582	GRM1B_HUMAN_55-233	GRM1B_HUMAN_321-502	GRM1B_MOUSE_321-502	GRM1C_HUMAN_107-289	GRM1C_HUMAN_312-494	B3KUR5_HUMAN_45-223	GRM1C_MOUSE_107-289	Q8W4D4_ARATH_391-576	I7M7X5_TETTS_1013-1226	I7M7X5_TETTS_1307-1507	Q2MGF5_CAEEL_57-244	J3KR86_HUMAN_127-303	Q55FU7_DICDI_479-662	GRM1A_MOUSE_365-539	C4M0I0_ENTHI_201-371	C4M0I0_ENTHI_381-531	B3KQF7_HUMAN_127-303	Q8MRR1_DROME_41-220	Q86AF7_DICDI_286-471	D0MXP9_PHYIT_957-1148	Q8MKJ8_DROME_144-324	D0NMG0_PHYIT_279-489	B8C8I7_THAPS_81-294	Q22XZ6_TETTS_144-333	Q4P940_USTMA_827-1016	B9F0Z0_ORYSJ_387-537	B8BQ30_THAPS_365-549	V5IMN0_NEUCR_493-676	B9G4T6_ORYSJ_322-427	Q55CZ7_DICDI_2-179	F8WJ74_MOUSE_365-496	Q86AF6_DICDI_540-708	B8CDL4_THAPS_224-415	D0NJ57_PHYIT_385-538	YL072_YEAST_390-578	B8C2T9_THAPS_869-1064	Q4QEC5_LEIMA_378-547	B8CDL2_THAPS_184-373	Q4QEC6_LEIMA_54-221	Q8VZF8_ARATH_257-370	Q4Q507_LEIMA_35-214	C4LUM2_ENTHI_46-249	I7MCY9_TETTS_788-993	Q5BB65_EMENI_853-1030	YFE2_YEAST_402-586	B8BUE2_THAPS_254-437	Q23QL2_TETTS_311-513	Q7RWT3_NEUCR_945-1126	D0NHH4_PHYIT_394-641	Q6K8R7_ORYSJ_365-458	B8LDM5_THAPS_929-1109	I7M5W4_TETTS_346-560	
0.00	178.49	60.60	183.97	201.48	192.67	190.85	194.88	191.92	50.55	195.97	63.67	201.48	90.61	155.03	63.67	195.97	27.66	209.72	88.56	168.41	94.86	163.74	68.49	195.97	151.93	161.72	90.61	202.60	161.25	165.73	165.73	180.56	145.22	145.22	145.22	134.75	134.75	134.75	131.50	186.07	186.07	154.05	148.98	138.11	156.98	138.11	180.56	210.29	138.11	170.42	148.98	161.25	156.98	186.07	170.42	191.92	152.90	200.48	156.98	161.25	166.19	203.71	133.02	152.90	204.82	194.15	148.98	237.48	165.34	186.07	160.71	195.43	219.75	148.02	191.92	175.35	131.50	169.41	219.75	211.99	170.42	222.99	180.56	211.99	
178.49	0.00	195.97	60.44	186.54	168.12	194.88	165.34	168.41	183.97	60.44	189.78	72.73	178.49	112.25	189.78	107.09	183.97	43.59	183.97	120.55	183.97	114.93	168.41	112.25	243.83	212.68	202.60	126.52	168.41	234.97	234.97	178.49	183.97	183.97	183.97	173.32	173.32	173.32	168.41	202.60	245.14	206.27	163.74	189.78	183.97	189.78	209.72	226.82	189.78	195.97	168.41	168.41	168.41	150.97	178.49	195.97	178.49	225.06	168.41	183.97	180.35	224.58	203.71	225.79	159.29	184.47	225.79	168.41	178.63	178.49	178.63	171.70	234.97	194.88	173.32	195.97	234.97	194.88	225.79	225.79	269.48	220.91	217.41	189.78	
60.60	195.97	0.00	256.54	201.48	186.54	236.23	194.88	180.56	47.86	234.97	37.82	224.58	75.30	173.32	68.49	202.60	62.12	324.22	77.09	178.49	77.09	173.32	77.09	183.97	156.01	171.26	86.55	209.72	170.42	161.25	161.25	191.92	131.50	131.50	131.50	134.75	134.75	134.75	141.60	186.07	204.82	182.91	148.98	152.90	165.73	152.90	180.56	229.74	152.90	148.98	180.56	148.98	131.50	186.07	191.92	198.15	125.32	208.37	175.35	170.42	173.76	179.53	151.85	175.35	228.20	241.20	152.90	191.92	152.07	186.07	144.15	207.32	198.15	148.02	272.41	165.73	131.50	169.41	259.29	247.76	180.56	186.71	175.35	204.82	
183.97	60.44	256.54	0.00	206.27	168.12	208.57	186.54	209.72	189.78	61.99	183.97	53.64	178.49	117.70	209.72	104.61	209.72	73.60	183.97	123.49	195.97	117.70	168.41	107.09	224.58	191.56	202.60	147.06	195.97	245.14	209.72	183.97	195.97	195.97	195.97	202.60	202.60	202.60	189.78	195.97	245.14	199.23	183.97	178.49	173.32	178.49	245.14	238.15	178.49	217.41	178.49	168.41	209.72	189.78	189.78	209.72	209.72	167.48	173.32	189.78	189.32	224.58	179.53	209.72	178.49	150.38	217.41	178.49	211.49	195.97	211.49	216.71	256.54	188.71	195.97	209.72	209.72	201.48	217.41	183.97	256.54	195.43	234.97	302.28	
201.48	186.54	201.48	206.27	0.00	78.30	200.36	191.56	177.45	224.58	213.87	194.88	205.11	177.45	186.54	182.91	192.67	201.48	213.87	182.91	186.54	201.48	186.54	182.91	222.14	176.41	190.45	188.71	170.22	146.10	194.88	255.16	131.94	224.58	224.58	216.24	177.45	177.45	177.45	182.91	131.94	201.48	182.91	182.91	208.57	138.76	201.48	149.99	159.24	208.57	188.71	172.29	162.73	182.91	167.39	182.91	177.45	177.45	153.63	172.29	182.91	146.53	157.29	193.50	167.39	182.91	131.85	216.24	154.05	165.34	194.88	170.22	169.84	201.48	176.41	194.88	233.72	243.83	161.72	243.83	208.57	177.45	153.18	172.29	243.83	
192.67	168.12	186.54	168.12	78.30	0.00	192.67	183.25	170.22	199.23	173.23	199.23	153.24	180.78	158.66	165.34	184.35	192.67	203.94	175.35	173.23	199.23	178.63	186.54	203.94	179.71	166.00	222.14	168.12	144.15	186.54	231.19	165.34	199.23	199.23	199.23	199.23	199.23	199.23	199.23	152.07	186.54	160.71	180.78	199.23	148.02	199.23	160.71	174.08	199.23	192.67	156.29	165.34	199.23	180.78	160.71	180.78	199.23	163.36	180.78	222.14	146.53	229.92	219.30	160.71	192.67	156.81	180.78	170.22	206.27	180.78	206.27	175.35	252.39	159.69	206.27	241.20	222.14	174.30	192.67	213.87	180.78	146.37	206.27	199.23	
190.85	194.88	236.23	208.57	200.36	192.67	0.00	141.39	148.02	203.71	177.45	210.86	207.42	197.06	201.48	218.58	194.88	218.58	208.57	197.06	201.48	197.06	172.29	227.00	268.01	256.54	170.22	197.06	188.71	179.53	218.58	227.00	179.53	197.06	197.06	197.06	197.06	197.06	197.06	197.06	179.53	164.73	153.06	156.01	174.34	174.34	174.34	179.53	228.29	174.34	197.06	179.53	197.06	179.53	174.34	203.71	227.00	236.23	180.12	185.02	257.91	159.18	195.97	167.59	210.86	151.93	208.93	218.58	218.58	148.02	185.02	152.07	173.54	236.23	225.79	144.27	246.45	246.45	189.78	169.41	227.00	304.04	160.52	236.23	203.71	
194.88	165.34	194.88	186.54	191.56	183.25	141.39	0.00	62.70	224.58	175.35	188.71	174.30	201.48	192.67	201.48	165.34	188.71	199.23	194.88	206.27	177.45	199.23	201.48	231.19	200.36	168.12	216.24	180.78	158.29	233.72	233.72	194.88	188.71	188.71	188.71	188.71	188.71	188.71	188.71	177.45	135.29	119.75	177.45	208.57	177.45	208.57	177.45	215.29	208.57	188.71	188.71	188.71	224.58	194.88	172.29	216.24	243.83	186.43	208.57	224.58	166.19	166.37	202.23	201.48	194.88	183.19	167.39	201.48	177.54	201.48	177.54	161.32	233.72	223.36	154.05	243.83	208.57	166.37	146.10	300.53	233.72	186.71	243.83	146.10	
191.92	168.41	180.56	209.72	177.45	170.22	148.02	62.70	0.00	170.42	183.97	186.07	194.88	191.92	195.97	198.15	178.49	191.92	225.79	191.92	195.97	191.92	189.78	180.56	209.72	197.06	171.26	198.15	189.78	145.22	175.35	228.20	180.56	186.07	186.07	191.92	191.92	191.92	191.92	191.92	161.25	125.32	128.71	161.25	180.56	165.73	180.56	191.92	229.74	180.56	165.73	186.07	186.07	175.35	152.90	161.25	228.20	204.82	216.97	198.15	228.20	159.18	174.34	162.88	228.20	161.25	194.15	175.35	186.07	160.71	180.56	165.34	158.79	191.92	227.00	148.98	204.82	191.92	185.02	165.73	328.25	247.76	222.99	272.41	152.90	
50.55	183.97	47.86	189.78	224.58	199.23	203.71	224.58	170.42	0.00	202.60	56.16	182.91	94.86	183.97	60.60	189.78	53.31	234.97	92.71	209.72	103.97	202.60	90.61	183.97	179.53	166.37	84.58	256.54	180.56	180.56	161.25	198.15	138.11	138.11	138.11	134.75	134.75	134.75	131.50	186.07	186.07	182.91	170.42	141.60	161.25	141.60	204.82	187.00	141.60	148.98	161.25	156.98	141.60	180.56	198.15	180.56	148.98	208.37	165.73	161.25	191.01	169.41	128.85	180.56	204.82	219.52	148.98	219.75	148.02	198.15	144.15	220.91	186.07	156.01	247.76	165.73	134.75	179.53	259.29	237.48	186.07	197.34	198.15	211.99	
