B9FU30_ORYSJ_284-472	B9FU30_ORYSJ_849-1024	Q5Z6I4_ORYSJ_261-445	Q5Z6I4_ORYSJ_857-1036	D0NKW7_PHYIT_491-663	D0NKW7_PHYIT_696-864	Q22US2_TETTS_932-1154	Q22US2_TETTS_1211-1402	Q22US2_TETTS_1444-1649	B9G1J5_ORYSJ_289-475	B9G1J5_ORYSJ_898-1071	C2GR1_ARATH_236-423	C2GR1_ARATH_844-1019	A9TQ08_PHYPA_235-415	A9TQ08_PHYPA_826-1012	C2GR2_ARATH_238-426	C2GR2_ARATH_849-1023	B9F3V9_ORYSJ_332-515	B9F3V9_ORYSJ_899-1075	A9SDA2_PHYPA_232-412	A9SDA2_PHYPA_817-1004	A9TQF1_PHYPA_224-401	A9TQF1_PHYPA_820-1003	Q7XKT6_ORYSJ_248-436	Q7XKT6_ORYSJ_859-1033	YSP2_YEAST_841-1021	YSP2_YEAST_1046-1230	A9RSX7_PHYPA_212-394	A9RSX7_PHYPA_807-992	F4HVW5_ARATH_257-449	YHO0_YEAST_751-934	YHO0_YEAST_957-1143	B9G4K6_ORYSJ_394-582	GRM1B_HUMAN_55-233	GRM1B_HUMAN_321-502	GRM1B_MOUSE_321-502	GRM1C_HUMAN_107-289	GRM1C_HUMAN_312-494	B3KUR5_HUMAN_45-223	GRM1C_MOUSE_107-289	Q8W4D4_ARATH_391-576	I7M7X5_TETTS_1013-1226	I7M7X5_TETTS_1307-1507	Q2MGF5_CAEEL_57-244	J3KR86_HUMAN_127-303	Q55FU7_DICDI_479-662	GRM1A_MOUSE_365-539	C4M0I0_ENTHI_201-371	C4M0I0_ENTHI_381-531	B3KQF7_HUMAN_127-303	Q8MRR1_DROME_41-220	Q86AF7_DICDI_286-471	D0MXP9_PHYIT_957-1148	Q8MKJ8_DROME_144-324	D0NMG0_PHYIT_279-489	B8C8I7_THAPS_81-294	Q22XZ6_TETTS_144-333	Q4P940_USTMA_827-1016	B9F0Z0_ORYSJ_387-537	B8BQ30_THAPS_365-549	V5IMN0_NEUCR_493-676	B9G4T6_ORYSJ_322-427	Q55CZ7_DICDI_2-179	F8WJ74_MOUSE_365-496	Q86AF6_DICDI_540-708	B8CDL4_THAPS_224-415	D0NJ57_PHYIT_385-538	YL072_YEAST_390-578	B8C2T9_THAPS_869-1064	Q4QEC5_LEIMA_378-547	B8CDL2_THAPS_184-373	Q4QEC6_LEIMA_54-221	Q8VZF8_ARATH_257-370	Q4Q507_LEIMA_35-214	C4LUM2_ENTHI_46-249	I7MCY9_TETTS_788-993	Q5BB65_EMENI_853-1030	YFE2_YEAST_402-586	B8BUE2_THAPS_254-437	Q23QL2_TETTS_311-513	Q7RWT3_NEUCR_945-1126	D0NHH4_PHYIT_394-641	Q6K8R7_ORYSJ_365-458	B8LDM5_THAPS_929-1109	I7M5W4_TETTS_346-560	
0.00	99999	70.94	601.02	380.68	339.92	421.05	400.50	345.22	57.67	385.76	70.44	99999	118.86	285.93	81.30	99999	30.45	99999	118.86	302.41	120.85	312.61	89.64	374.08	271.92	234.12	118.33	99999	338.40	314.48	247.79	434.76	216.49	221.14	221.14	202.55	202.55	210.08	197.07	418.15	334.01	267.74	231.50	201.23	294.36	198.41	336.42	99999	201.23	311.35	234.83	300.96	234.12	341.66	429.58	325.21	234.83	99999	281.72	263.11	292.17	99999	196.57	232.61	781.53	398.95	261.08	99999	327.54	429.58	284.43	99999	99999	273.86	349.46	272.19	172.38	326.75	99999	99999	306.68	99999	311.88	99999	
99999	0.00	99999	78.33	375.42	297.38	310.01	299.13	313.22	466.29	79.07	99999	93.20	323.25	183.51	99999	130.43	590.56	45.63	373.48	188.23	358.35	174.71	326.75	151.69	99999	99999	99999	197.07	316.49	99999	99999	413.10	282.33	282.33	282.33	379.78	379.78	379.78	306.87	99999	99999	99999	284.87	279.82	392.03	288.29	99999	99999	279.82	99999	368.24	296.57	353.67	216.49	315.24	495.36	302.32	99999	254.65	405.66	275.03	99999	316.79	99999	263.11	352.68	99999	254.89	369.48	353.67	330.61	323.86	99999	99999	358.35	99999	99999	99999	99999	99999	99999	99999	99999	433.39	
70.94	99999	0.00	99999	348.82	317.44	99999	448.42	290.07	60.23	99999	47.17	99999	98.63	324.26	79.13	443.32	72.10	99999	106.20	345.64	103.74	324.26	95.66	344.78	281.72	258.96	102.06	99999	485.91	295.43	245.95	501.72	183.19	181.05	181.05	193.07	193.07	198.41	198.41	372.93	535.39	328.53	209.80	207.14	372.93	210.38	315.24	99999	207.14	230.72	331.16	261.02	184.44	403.62	99999	318.78	180.21	99999	353.83	271.92	270.57	379.78	204.16	297.80	99999	99999	242.82	601.02	251.94	429.58	229.03	99999	407.90	265.21	99999	250.88	184.44	290.07	99999	99999	341.66	418.15	280.38	421.05	
601.02	78.33	99999	0.00	99999	265.57	99999	618.37	99999	396.97	73.79	459.86	70.91	316.49	170.02	601.02	131.23	99999	88.65	341.11	175.18	337.12	170.02	276.48	141.90	99999	527.88	495.36	203.81	99999	99999	590.56	421.05	316.49	308.28	308.28	421.05	421.05	398.65	421.05	405.66	99999	431.82	479.85	310.01	319.83	303.79	99999	99999	310.01	99999	345.22	291.01	781.53	302.32	546.05	99999	99999	257.93	333.24	392.03	358.35	99999	316.79	99999	322.18	235.50	99999	272.19	99999	319.83	99999	99999	99999	99999	99999	99999	99999	632.05	99999	527.88	99999	298.17	99999	99999	
380.68	375.42	348.82	99999	0.00	107.00	99999	327.54	321.04	99999	99999	348.82	99999	302.22	287.27	348.82	343.79	374.72	99999	344.30	287.27	499.61	323.64	289.19	512.64	278.33	375.42	344.30	273.13	207.83	344.30	99999	191.25	99999	99999	99999	335.67	335.67	335.67	363.58	202.98	499.61	348.82	344.30	99999	183.13	99999	211.02	247.38	99999	313.91	260.83	270.33	369.03	263.11	293.77	369.03	280.99	244.36	238.59	286.42	216.75	209.72	390.02	232.82	308.60	175.82	427.82	217.99	244.49	313.91	254.40	241.06	99999	334.87	393.53	99999	99999	303.79	99999	386.94	291.01	221.51	358.35	99999	
339.92	297.38	317.44	265.57	107.00	0.00	418.77	348.47	278.33	410.37	281.63	339.92	265.57	313.91	229.03	258.57	297.38	358.35	363.80	296.08	247.62	442.46	258.43	299.13	334.87	278.33	258.43	712.68	300.56	222.00	321.04	99999	260.83	296.08	296.08	296.08	307.10	307.10	307.10	327.54	240.54	317.44	250.16	299.13	267.89	192.53	280.99	216.83	282.33	267.89	307.10	250.16	270.33	358.35	325.78	246.49	313.91	335.67	222.32	293.10	418.77	237.89	99999	334.01	241.91	280.99	223.57	275.29	240.54	99999	253.85	482.29	271.92	99999	263.11	344.30	99999	427.82	284.43	290.16	363.58	288.29	191.07	99999	369.03	
421.05	310.01	99999	99999	99999	418.77	0.00	195.96	180.08	554.56	316.49	781.53	99999	99999	513.50	99999	466.29	99999	424.26	99999	99999	99999	319.83	99999	99999	99999	281.72	99999	443.32	383.66	99999	99999	312.61	443.32	443.32	443.32	99999	99999	99999	379.78	309.62	211.86	211.15	295.43	282.33	271.92	296.57	398.65	99999	282.33	424.26	295.43	485.91	385.76	253.42	535.39	99999	372.93	308.96	308.28	99999	230.43	495.36	285.73	99999	253.42	441.45	99999	571.67	227.26	410.66	250.16	437.01	99999	99999	223.52	99999	99999	334.73	212.76	99999	99999	255.52	99999	311.19	
400.50	299.13	448.42	618.37	327.54	348.47	195.96	0.00	79.12	99999	335.67	358.35	308.60	99999	632.05	99999	270.33	317.44	99999	427.82	99999	313.91	99999	546.05	99999	358.35	244.49	99999	317.44	254.65	99999	433.39	385.76	344.30	344.30	344.30	402.53	402.53	402.53	402.53	291.01	203.69	170.56	353.50	499.61	311.88	99999	302.22	99999	499.61	467.35	308.60	424.26	99999	506.61	254.65	99999	99999	291.20	99999	488.89	259.65	310.01	390.02	400.50	99999	341.30	260.90	590.56	327.54	99999	319.83	263.11	99999	99999	235.50	99999	506.61	282.98	211.24	99999	99999	388.23	99999	219.51	
345.22	313.22	290.07	99999	321.04	278.33	180.08	79.12	0.00	341.11	296.57	373.48	99999	99999	99999	373.48	333.24	319.83	99999	646.49	590.56	99999	398.65	413.10	99999	99999	302.32	99999	454.21	245.95	438.80	99999	341.66	373.48	373.48	413.10	373.48	373.48	373.48	413.10	289.19	196.10	170.00	281.72	323.25	358.35	337.12	443.32	99999	323.25	290.07	438.80	337.78	323.25	263.11	256.73	99999	317.67	99999	838.97	99999	259.47	424.26	278.33	99999	299.68	528.95	324.26	389.40	278.33	395.41	293.10	321.62	781.53	99999	263.11	563.09	563.09	495.36	245.90	99999	99999	99999	99999	244.68	
57.67	466.29	60.23	396.97	99999	410.37	554.56	99999	341.11	0.00	379.78	62.27	325.78	118.53	601.02	79.14	379.78	59.75	99999	119.41	99999	119.97	99999	110.26	318.67	405.66	235.14	108.19	99999	661.94	319.83	240.49	99999	202.65	206.93	206.93	202.55	202.55	202.65	191.89	390.66	345.22	418.77	251.21	199.82	263.11	197.01	393.53	303.79	199.82	256.91	239.31	265.28	224.96	353.83	99999	271.66	253.15	99999	292.73	245.49	343.52	297.80	181.27	277.82	466.29	99999	255.11	99999	251.94	421.05	229.03	99999	400.50	294.36	99999	258.84	190.41	313.22	99999	99999	353.83	838.97	393.53	99999	
385.76	79.07	99999	73.79	99999	281.63	316.49	335.67	296.57	379.78	0.00	99999	99.02	506.61	173.03	433.39	112.79	99999	97.10	506.61	181.93	473.68	161.07	293.77	138.85	99999	473.68	99999	197.04	293.77	99999	99999	299.42	407.90	407.90	407.90	448.42	448.42	448.42	580.32	590.56	398.65	99999	267.60	285.62	379.78	285.62	99999	99999	285.62	99999	333.24	269.88	99999	229.03	448.42	99999	333.24	290.27	288.29	398.65	293.92	99999	312.34	99999	349.15	447.34	99999	319.83	99999	99999	99999	317.86	99999	448.42	99999	99999	99999	488.89	324.74	99999	99999	271.92	99999	99999	
70.44	99999	47.17	459.86	348.82	339.92	781.53	358.35	373.48	62.27	99999	0.00	398.65	79.12	312.61	72.96	333.24	68.96	99999	98.63	334.73	92.72	331.16	88.06	374.08	258.96	258.96	89.86	485.91	358.35	249.29	276.48	383.66	166.03	169.46	173.55	161.78	161.78	166.03	173.55	291.76	438.80	353.50	224.27	213.42	269.49	210.38	363.39	99999	213.42	249.29	251.53	261.02	213.05	367.89	326.75	305.19	212.69	99999	429.58	251.21	237.89	291.01	212.40	258.71	345.22	329.61	242.82	459.86	232.82	311.35	213.42	405.24	368.62	283.52	99999	225.68	189.29	254.89	99999	305.28	459.86	418.15	267.74	99999	
99999	93.20	99999	70.91	99999	265.57	99999	308.60	99999	325.78	99.02	398.65	0.00	358.35	179.01	310.01	114.62	488.89	105.90	433.39	188.23	99999	184.44	333.24	129.28	433.39	325.78	99999	197.04	363.20	646.49	368.24	345.22	260.90	260.90	260.90	246.49	246.49	246.49	280.38	405.66	99999	374.72	277.34	285.62	374.08	300.77	402.53	99999	285.62	580.32	379.78	272.19	400.50	302.32	340.54	373.48	590.56	271.12	311.88	316.49	99999	99999	312.34	99999	632.05	257.74	99999	413.10	404.76	632.05	353.12	301.12	99999	99999	433.39	368.62	466.29	263.11	99999	407.90	99999	230.72	99999	99999	
118.86	323.25	98.63	316.49	302.22	313.91	99999	99999	99999	118.53	506.61	79.12	358.35	0.00	99999	91.79	99999	117.66	99999	42.97	429.58	35.45	99999	107.37	99999	292.73	272.19	70.04	99999	274.19	308.28	363.03	274.19	214.95	214.95	221.74	218.55	218.55	218.55	218.55	253.15	99999	99999	194.40	190.41	298.17	187.77	315.24	99999	190.41	260.96	244.12	295.43	176.16	244.12	99999	306.68	240.49	99999	302.32	218.03	252.88	99999	176.82	196.97	263.11	283.08	300.96	300.96	381.66	260.96	297.38	319.83	460.32	311.35	99999	282.33	216.49	302.32	99999	368.24	403.62	341.66	244.49	99999	
285.93	183.51	324.26	170.02	287.27	229.03	513.50	632.05	99999	601.02	173.03	312.61	179.01	99999	0.00	410.66	158.49	396.97	163.97	99999	37.31	405.66	33.76	259.07	158.83	479.85	311.35	363.03	85.91	283.52	429.58	448.83	297.00	302.32	311.35	311.35	421.05	421.05	405.66	421.05	245.95	781.53	437.65	363.03	554.56	298.17	506.61	499.61	99999	554.56	99999	334.01	308.28	421.05	358.35	267.60	99999	233.16	292.33	299.42	99999	243.08	99999	99999	99999	379.78	333.08	99999	396.97	512.64	781.53	99999	437.01	99999	99999	99999	424.26	99999	454.21	99999	554.56	99999	237.57	410.37	308.28	
81.30	99999	79.13	601.02	348.82	258.57	99999	99999	373.48	79.14	433.39	72.96	310.01	91.79	410.66	0.00	99999	82.80	99999	107.37	418.15	118.53	372.93	93.63	415.79	99999	267.47	111.06	99999	349.75	373.48	390.66	345.64	170.04	169.46	173.55	188.23	188.23	193.07	193.19	396.97	279.29	321.04	202.55	207.14	255.11	210.38	336.42	99999	207.14	232.42	259.07	281.72	213.05	396.97	781.53	273.86	239.31	429.98	358.35	247.38	246.30	473.68	221.41	265.41	308.28	310.99	291.76	563.09	278.33	390.66	260.76	99999	407.90	242.82	99999	250.88	223.34	398.65	99999	99999	284.18	418.15	280.38	99999	
99999	130.43	443.32	131.23	343.79	297.38	466.29	270.33	333.24	379.78	112.79	333.24	114.62	99999	158.49	99999	0.00	99999	147.14	329.46	148.18	99999	144.98	358.35	108.39	99999	303.79	99999	177.38	313.22	99999	99999	99999	285.62	285.62	285.62	393.53	393.53	393.53	393.53	466.29	99999	618.37	392.03	407.90	385.76	407.90	99999	99999	407.90	580.32	363.20	299.42	99999	292.73	258.71	99999	454.21	293.55	303.79	99999	226.14	99999	742.72	482.29	506.61	280.78	99999	276.90	99999	99999	687.71	317.86	99999	400.50	99999	99999	99999	99999	99999	99999	99999	234.12	99999	99999	
